lexemeCurrentNode: _readMarks          , lineno: 8 , token: TK_FUNID            ,valueIfNumber:      , parentNodeSymbol: <function>          , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: _readMarks          , lineno: 8 , token: TK_FUNID            ,valueIfNumber:      , parentNodeSymbol: <function>          , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: input               , lineno: 8 , token: TK_INPUT            ,valueIfNumber:      , parentNodeSymbol: <input_par>         , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: input               , lineno: 8 , token: TK_INPUT            ,valueIfNumber:      , parentNodeSymbol: <input_par>         , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: parameter           , lineno: 8 , token: TK_PARAMETER        ,valueIfNumber:      , parentNodeSymbol: <input_par>         , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: parameter           , lineno: 8 , token: TK_PARAMETER        ,valueIfNumber:      , parentNodeSymbol: <input_par>         , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: list                , lineno: 8 , token: TK_LIST             ,valueIfNumber:      , parentNodeSymbol: <input_par>         , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: list                , lineno: 8 , token: TK_LIST             ,valueIfNumber:      , parentNodeSymbol: <input_par>         , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: [                   , lineno: 8 , token: TK_SQL              ,valueIfNumber:      , parentNodeSymbol: <input_par>         , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: [                   , lineno: 8 , token: TK_SQL              ,valueIfNumber:      , parentNodeSymbol: <input_par>         , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: int                 , lineno: 8 , token: TK_INT              ,valueIfNumber:      , parentNodeSymbol: <primitiveDatatype> , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: int                 , lineno: 8 , token: TK_INT              ,valueIfNumber:      , parentNodeSymbol: <primitiveDatatype> , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: ----                , lineno:   , token:                     ,valueIfNumber:      , parentNodeSymbol: <dataType>          , isLeafNode: no  , NodeSymbol: <primitiveDatatype>
lexemeCurrentNode: ----                , lineno:   , token:                     ,valueIfNumber:      , parentNodeSymbol: <parameter_list>    , isLeafNode: no  , NodeSymbol: <dataType>
lexemeCurrentNode: b7                  , lineno: 8 , token: TK_ID               ,valueIfNumber:      , parentNodeSymbol: <parameter_list>    , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: b7                  , lineno: 8 , token: TK_ID               ,valueIfNumber:      , parentNodeSymbol: <parameter_list>    , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: ----                , lineno:   , token:                     ,valueIfNumber:      , parentNodeSymbol: <remaining_list>    , isLeafNode: yes , NodeSymbol: eps
lexemeCurrentNode: ----                , lineno:   , token:                     ,valueIfNumber:      , parentNodeSymbol: <remaining_list>    , isLeafNode: yes , NodeSymbol: eps
lexemeCurrentNode: ----                , lineno:   , token:                     ,valueIfNumber:      , parentNodeSymbol: <parameter_list>    , isLeafNode: no  , NodeSymbol: <remaining_list>
lexemeCurrentNode: ----                , lineno:   , token:                     ,valueIfNumber:      , parentNodeSymbol: <input_par>         , isLeafNode: no  , NodeSymbol: <parameter_list>
lexemeCurrentNode: ]                   , lineno: 8 , token: TK_SQR              ,valueIfNumber:      , parentNodeSymbol: <input_par>         , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: ]                   , lineno: 8 , token: TK_SQR              ,valueIfNumber:      , parentNodeSymbol: <input_par>         , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: ----                , lineno:   , token:                     ,valueIfNumber:      , parentNodeSymbol: <function>          , isLeafNode: no  , NodeSymbol: <input_par>
